question_id,subject,bloom_level,question_text,question_length,mean_score,std_dev,pass_rate,discrimination_index,difficulty_label
Q2676,Physics,Remember,List the factors affecting optics.,5,56.13,10.0,0.48,0.38,Easy
Q2677,Mathematics,Evaluate,Evaluate the efficiency of differential equations in solving complex problems.,10,64.72,14.43,0.46,0.51,Medium
Q2678,Biology,Apply,Demonstrate how osmosis affects the survival of the organism.,9,23.75,18.94,0.35,0.57,Medium
Q2679,Computer Science,Apply,Write a program to implement sorting algorithms.,7,42.84,20.38,0.15,0.59,Medium
Q2680,Physics,Analyze,Break down the forces acting in a system involving electric circuits.,11,94.99,8.16,0.77,0.28,Easy
Q2681,Biology,Remember,List the stages of mitosis.,5,87.24,7.18,0.89,0.28,Easy
Q2682,Mathematics,Create,Develop a solution strategy for differential equations that minimizes errors.,10,32.56,18.99,0.26,0.78,Hard
Q2683,Physics,Create,Formulate a hypothesis about relativity based on the data.,9,56.22,17.23,0.6,0.49,Medium
Q2684,Mathematics,Apply,Apply graph theory to determine the missing variable.,8,38.33,14.94,0.33,0.75,Medium
Q2685,Mathematics,Create,Design a mathematical model using graph theory to represent a real-world problem.,12,48.33,12.04,0.74,0.45,Medium
Q2686,Physics,Create,Develop a theoretical model incorporating nuclear fission.,7,75.82,4.62,0.93,0.24,Medium
Q2687,Physics,Remember,Define thermodynamics in the context of physics.,7,65.95,14.8,0.64,0.41,Easy
Q2688,Mathematics,Apply,Use integration to find the area of the given figure.,10,91.89,6.72,0.84,0.18,Easy
Q2689,Computer Science,Evaluate,Justify the use of TCP/IP protocol in large-scale systems.,9,47.26,12.54,0.67,0.38,Medium
Q2690,Physics,Understand,Describe the relationship between optics and energy.,7,78.18,4.84,0.77,0.33,Easy
Q2691,Biology,Create,Formulate a research question about osmosis in the context of disease.,11,78.93,3.57,0.97,0.27,Medium
Q2692,Biology,Analyze,Compare photosynthesis in prokaryotes and eukaryotes.,6,50.09,17.69,0.73,0.32,Medium
Q2693,Physics,Evaluate,Evaluate the impact of gravitational force on energy conservation.,9,51.69,17.45,0.58,0.38,Medium
Q2694,Physics,Create,Design an experiment to measure electric circuits accurately.,8,72.97,6.85,0.83,0.32,Medium
Q2695,Physics,Create,Formulate a hypothesis about gravitational force based on the data.,10,39.84,10.91,0.16,0.8,Hard
Q2696,Mathematics,Analyze,Compare and contrast number theory with statistics.,7,63.95,9.78,0.61,0.54,Medium
Q2697,Physics,Evaluate,Evaluate the impact of optics on energy conservation.,8,34.3,16.57,0.35,0.46,Hard
Q2698,Mathematics,Apply,Use probability to find the area of the given figure.,10,24.73,11.53,0.31,0.74,Medium
Q2699,Physics,Evaluate,Evaluate the impact of electromagnetism on energy conservation.,8,66.03,17.78,0.7,0.51,Medium
Q2700,Physics,Understand,Explain optics using everyday examples.,5,49.83,8.91,0.48,0.48,Medium
Q2701,Mathematics,Apply,Calculate the value of calculus given the following data.,9,28.91,12.35,0.12,0.47,Medium
Q2702,Mathematics,Apply,"Solve the following problem using number theory: if x = 5, find y.",13,81.24,6.73,0.91,0.12,Easy
Q2703,Physics,Evaluate,Critique the assumptions made in the optics model.,8,61.59,11.13,0.59,0.49,Medium
Q2704,Physics,Apply,Determine the value of electric circuits using the data provided.,10,83.96,9.82,0.89,0.12,Easy
Q2705,Physics,Understand,Explain momentum using everyday examples.,5,77.67,3.57,0.9,0.28,Easy
Q2706,Mathematics,Create,Construct a proof for probability.,5,44.56,14.57,0.32,0.46,Hard
Q2707,Computer Science,Create,Design a system using TCP/IP protocol to handle real-time data.,10,83.39,5.92,0.87,0.13,Medium
Q2708,Biology,Understand,Explain the process of protein synthesis in living organisms.,9,54.53,14.18,0.68,0.54,Easy
Q2709,Physics,Analyze,Compare electromagnetism in elastic and inelastic collisions.,7,68.31,8.86,0.45,0.39,Medium
Q2710,Biology,Understand,Explain the process of photosynthesis in living organisms.,8,33.78,15.47,0.35,0.51,Medium
Q2711,Physics,Evaluate,Evaluate the impact of electromagnetism on energy conservation.,8,57.33,9.29,0.69,0.44,Medium
Q2712,Mathematics,Apply,"Solve the following problem using probability: if x = 5, find y.",12,67.52,16.11,0.55,0.55,Easy
Q2713,Biology,Remember,Define enzyme activity in biological terms.,6,21.1,16.63,0.16,0.78,Medium
Q2714,Biology,Apply,Demonstrate how photosynthesis affects the survival of the organism.,9,42.16,13.16,0.43,0.59,Medium
Q2715,Physics,Remember,What is the SI unit of optics?,7,69.3,13.84,0.55,0.4,Easy
Q2716,Mathematics,Analyze,Differentiate between graph theory and number theory with examples.,9,66.02,12.31,0.49,0.43,Medium
Q2717,Biology,Create,Develop a model to explain the mechanism of mitosis.,9,28.69,18.37,0.42,0.66,Hard
Q2718,Biology,Create,Design an experiment to test the effect of temperature on mitosis.,11,30.42,11.54,0.42,0.75,Hard
Q2719,Computer Science,Evaluate,Critique the design of binary trees in the given system.,10,68.05,12.82,0.63,0.47,Medium
Q2720,Computer Science,Evaluate,Justify the use of neural networks in large-scale systems.,9,78.23,8.32,0.93,0.31,Medium
Q2721,Computer Science,Create,Design a system using recursion to handle real-time data.,9,52.7,13.89,0.68,0.36,Medium
Q2722,Physics,Analyze,Differentiate between optics and momentum.,5,75.98,5.51,0.77,0.28,Easy
Q2723,Physics,Create,Formulate a hypothesis about relativity based on the data.,9,86.44,5.76,0.75,0.24,Medium
Q2724,Physics,Analyze,Compare electromagnetism in elastic and inelastic collisions.,7,48.73,16.91,0.56,0.47,Medium
Q2725,Computer Science,Create,Construct a database schema using principles of neural networks.,9,45.04,15.64,0.61,0.34,Hard
Q2726,Biology,Evaluate,Critique the experimental design used to study osmosis.,8,55.68,15.27,0.65,0.51,Medium
Q2727,Mathematics,Evaluate,Assess the limitations of number theory in real-world applications.,9,26.96,19.62,0.18,0.79,Hard
Q2728,Biology,Apply,Demonstrate how cellular respiration affects the survival of the organism.,10,75.78,7.45,0.77,0.22,Easy
Q2729,Biology,Apply,Demonstrate how protein synthesis affects the survival of the organism.,10,56.43,10.76,0.74,0.32,Easy
Q2730,Computer Science,Analyze,Differentiate between database normalization and dynamic programming.,7,64.02,16.39,0.65,0.5,Medium
Q2731,Physics,Understand,Interpret the graph showing quantum mechanics over time.,8,80.16,8.51,0.77,0.19,Easy
Q2732,Biology,Analyze,Compare cellular respiration in prokaryotes and eukaryotes.,7,55.67,17.35,0.45,0.5,Medium
Q2733,Computer Science,Remember,List the types of operating system scheduling.,7,29.9,12.3,0.11,0.72,Medium
Q2734,Computer Science,Understand,Describe the role of dynamic programming in modern computing.,9,23.61,16.29,0.37,0.73,Medium
Q2735,Biology,Analyze,Analyze the relationship between mitosis and cellular respiration.,8,46.22,14.28,0.68,0.41,Medium
Q2736,Mathematics,Apply,Use statistics to find the area of the given figure.,10,75.1,9.37,0.88,0.12,Easy
Q2737,Computer Science,Apply,Use recursion to optimize the following algorithm.,7,33.17,14.8,0.36,0.49,Medium
Q2738,Physics,Analyze,Differentiate between nuclear fission and quantum mechanics.,7,28.63,17.03,0.41,0.46,Medium
Q2739,Biology,Create,Construct a phylogenetic tree based on immune response.,8,32.39,10.58,0.22,0.52,Hard
Q2740,Mathematics,Evaluate,Justify why graph theory is preferred over matrices.,8,62.76,16.21,0.55,0.41,Medium
Q2741,Mathematics,Understand,Describe how graph theory works in real-world scenarios.,8,41.99,21.39,0.44,0.7,Medium
Q2742,Mathematics,Create,Develop a solution strategy for probability that minimizes errors.,9,53.5,11.2,0.49,0.53,Hard
Q2743,Physics,Understand,Interpret the graph showing momentum over time.,7,29.27,15.73,0.28,0.55,Medium
Q2744,Mathematics,Analyze,Compare and contrast number theory with graph theory.,8,22.05,19.38,0.3,0.65,Hard
Q2745,Mathematics,Analyze,Compare and contrast trigonometry with probability.,6,54.26,9.53,0.65,0.37,Medium
Q2746,Physics,Understand,Describe the relationship between relativity and energy.,7,55.74,10.76,0.61,0.43,Easy
Q2747,Biology,Apply,Calculate the rate of photosynthesis given the experimental data.,9,55.86,11.79,0.55,0.52,Medium
Q2748,Physics,Apply,Apply the formula for wave motion to solve the given problem.,11,26.58,19.53,0.17,0.74,Medium
Q2749,Biology,Create,Design an experiment to test the effect of temperature on immune response.,12,53.41,12.11,0.62,0.54,Medium
Q2750,Mathematics,Analyze,Break down the steps involved in solving number theory.,9,68.74,10.41,0.71,0.39,Medium
Q2751,Biology,Remember,Name the organelles involved in genetic mutation.,7,36.6,11.32,0.43,0.68,Medium
Q2752,Physics,Evaluate,Critique the assumptions made in the electromagnetism model.,8,26.01,10.86,0.41,0.54,Hard
Q2753,Physics,Apply,Determine the value of quantum mechanics using the data provided.,10,57.51,12.01,0.48,0.39,Medium
Q2754,Biology,Evaluate,Assess the impact of mutations on DNA replication.,8,61.22,12.68,0.64,0.38,Medium
Q2755,Physics,Apply,Use the concept of nuclear fission to explain the given experiment.,11,45.44,15.75,0.67,0.5,Medium
Q2756,Biology,Apply,Demonstrate how mitosis affects the survival of the organism.,9,22.44,14.91,0.12,0.73,Medium
Q2757,Biology,Understand,Explain the process of enzyme activity in living organisms.,9,88.54,7.59,0.98,0.18,Easy
Q2758,Biology,Remember,List the stages of genetic mutation.,6,90.17,9.98,0.86,0.28,Easy
Q2759,Computer Science,Apply,Apply TCP/IP protocol to solve the given computational problem.,9,78.73,5.24,0.83,0.11,Easy
Q2760,Physics,Create,Design an experiment to measure momentum accurately.,7,20.93,15.54,0.17,0.74,Hard
Q2761,Biology,Apply,Apply your knowledge of osmosis to explain the given case study.,11,45.78,16.46,0.68,0.41,Medium
Q2762,Physics,Evaluate,Judge the accuracy of the experiment measuring thermodynamics.,8,83.57,7.91,0.79,0.23,Medium
Q2763,Computer Science,Remember,What does TCP/IP protocol stand for?,6,29.13,19.73,0.18,0.64,Medium
Q2764,Computer Science,Apply,Use encryption to optimize the following algorithm.,7,39.76,15.84,0.18,0.76,Medium
Q2765,Mathematics,Analyze,Analyze the relationship between statistics and differential equations.,8,73.2,6.74,0.8,0.29,Easy
Q2766,Mathematics,Understand,Summarize the key principles of probability.,6,46.86,9.9,0.63,0.53,Easy
Q2767,Physics,Evaluate,Critique the assumptions made in the nuclear fission model.,9,80.13,7.71,0.8,0.22,Medium
Q2768,Physics,Evaluate,Evaluate the impact of nuclear fission on energy conservation.,9,24.9,19.21,0.44,0.68,Hard
Q2769,Physics,Create,Develop a theoretical model incorporating gravitational force.,7,54.12,16.14,0.57,0.31,Medium
Q2770,Biology,Understand,Explain the process of DNA replication in living organisms.,9,31.77,17.1,0.19,0.72,Medium
Q2771,Biology,Analyze,Compare mitosis in prokaryotes and eukaryotes.,6,22.59,19.72,0.34,0.78,Hard
Q2772,Computer Science,Apply,Apply recursion to solve the given computational problem.,8,40.13,10.99,0.14,0.62,Medium
Q2773,Biology,Apply,Use the concept of DNA replication to predict the outcome of the experiment.,13,51.6,14.29,0.56,0.39,Medium
Q2774,Physics,Apply,Use the concept of thermodynamics to explain the given experiment.,10,71.91,6.65,0.94,0.27,Easy
Q2775,Biology,Analyze,Analyze the relationship between immune response and cellular respiration.,9,94.16,7.81,0.78,0.15,Easy
Q2776,Biology,Create,Formulate a research question about mitosis in the context of disease.,11,52.52,9.0,0.68,0.37,Medium
Q2777,Biology,Create,Develop a model to explain the mechanism of cellular respiration.,10,70.7,3.52,0.91,0.16,Medium
Q2778,Mathematics,Remember,What is the formula for graph theory?,7,81.07,6.79,0.97,0.1,Easy
Q2779,Biology,Apply,Calculate the rate of osmosis given the experimental data.,9,57.07,15.32,0.45,0.41,Medium
Q2780,Computer Science,Analyze,Analyze the time complexity of database normalization.,7,63.51,11.73,0.59,0.46,Medium
Q2781,Mathematics,Analyze,Break down the steps involved in solving linear algebra.,9,77.05,6.66,0.87,0.24,Easy
Q2782,Biology,Evaluate,Judge the effectiveness of osmosis as a defense mechanism.,9,75.65,8.79,0.79,0.31,Medium
Q2783,Biology,Analyze,Compare immune response in prokaryotes and eukaryotes.,7,84.72,3.58,0.76,0.28,Easy
Q2784,Biology,Apply,Apply your knowledge of natural selection to explain the given case study.,12,34.23,21.58,0.35,0.71,Medium
Q2785,Computer Science,Apply,Write a program to implement encryption.,6,44.95,18.46,0.31,0.69,Medium
Q2786,Physics,Evaluate,Evaluate the impact of nuclear fission on energy conservation.,9,49.7,17.93,0.49,0.4,Medium
Q2787,Computer Science,Remember,Define the term recursion.,4,43.06,10.8,0.19,0.77,Medium
Q2788,Biology,Remember,Name the organelles involved in cellular respiration.,7,72.83,7.0,0.97,0.11,Easy
Q2789,Mathematics,Understand,Describe how graph theory works in real-world scenarios.,8,43.2,12.78,0.37,0.58,Medium
Q2790,Computer Science,Create,Construct a database schema using principles of binary trees.,9,35.97,10.05,0.23,0.53,Hard
Q2791,Physics,Apply,Calculate the electromagnetism of an object with mass 5kg and velocity 10m/s.,12,29.43,12.61,0.34,0.57,Medium
Q2792,Physics,Remember,What is the SI unit of gravitational force?,8,39.13,11.81,0.29,0.52,Medium
Q2793,Biology,Evaluate,Evaluate the significance of genetic mutation in evolution.,8,68.29,11.39,0.68,0.45,Medium
Q2794,Mathematics,Analyze,Break down the steps involved in solving linear algebra.,9,49.81,11.45,0.6,0.53,Medium
Q2795,Physics,Create,Construct a simulation to demonstrate optics.,6,53.25,17.63,0.53,0.5,Hard
Q2796,Biology,Analyze,Break down the molecular mechanisms of osmosis.,7,47.88,13.57,0.68,0.4,Medium
Q2797,Mathematics,Analyze,Differentiate between statistics and linear algebra with examples.,8,77.75,9.59,0.91,0.28,Easy
Q2798,Biology,Understand,Illustrate the cycle of cellular respiration with a diagram.,9,75.64,4.85,0.94,0.29,Easy
Q2799,Physics,Apply,Use the concept of nuclear fission to explain the given experiment.,11,70.01,6.8,0.97,0.31,Easy
Q2800,Mathematics,Evaluate,Critique the use of calculus in the given scenario.,9,78.61,3.14,0.83,0.17,Medium
Q2801,Physics,Evaluate,Evaluate the impact of nuclear fission on energy conservation.,9,27.47,15.73,0.39,0.49,Hard
Q2802,Biology,Apply,Use the concept of protein synthesis to predict the outcome of the experiment.,13,29.05,18.08,0.22,0.57,Medium
Q2803,Computer Science,Understand,Explain how neural networks works with an example.,8,59.42,10.96,0.55,0.54,Easy
Q2804,Physics,Create,Develop a theoretical model incorporating wave motion.,7,66.46,15.42,0.45,0.41,Medium
Q2805,Computer Science,Evaluate,Critique the design of TCP/IP protocol in the given system.,10,80.24,6.84,0.76,0.29,Medium
Q2806,Biology,Evaluate,Critique the experimental design used to study DNA replication.,9,46.02,14.54,0.62,0.52,Medium
Q2807,Computer Science,Analyze,Analyze the time complexity of sorting algorithms.,7,49.59,15.45,0.68,0.41,Medium
Q2808,Computer Science,Apply,Demonstrate the use of encryption in the given scenario.,9,83.85,5.94,0.79,0.3,Easy
Q2809,Physics,Understand,Describe the relationship between electric circuits and energy.,8,74.81,9.59,0.81,0.3,Easy
Q2810,Physics,Apply,Determine the value of electric circuits using the data provided.,10,64.69,16.14,0.72,0.51,Easy
Q2811,Computer Science,Create,Create a flowchart illustrating the process of recursion.,8,29.97,14.13,0.15,0.57,Hard
Q2812,Physics,Remember,List the factors affecting quantum mechanics.,6,78.59,6.38,0.95,0.11,Easy
Q2813,Physics,Apply,Calculate the quantum mechanics of an object with mass 5kg and velocity 10m/s.,13,64.5,11.41,0.48,0.54,Medium
Q2814,Physics,Apply,Determine the value of wave motion using the data provided.,10,42.61,16.35,0.1,0.54,Medium
Q2815,Computer Science,Apply,Demonstrate the use of encryption in the given scenario.,9,45.75,13.57,0.74,0.41,Medium
Q2816,Mathematics,Create,Design a mathematical model using integration to represent a real-world problem.,11,75.72,7.13,0.78,0.13,Medium
Q2817,Mathematics,Evaluate,Justify why graph theory is preferred over integration.,8,42.59,16.72,0.44,0.77,Hard
Q2818,Biology,Understand,Describe how enzyme activity contributes to homeostasis.,7,32.98,12.44,0.38,0.48,Medium
Q2819,Biology,Understand,Explain the process of osmosis in living organisms.,8,47.83,17.16,0.62,0.38,Easy
Q2820,Computer Science,Understand,Explain how sorting algorithms works with an example.,8,33.55,16.08,0.26,0.46,Medium
Q2821,Biology,Apply,Apply your knowledge of mitosis to explain the given case study.,11,46.98,17.39,0.49,0.34,Medium
Q2822,Physics,Apply,Calculate the momentum of an object with mass 5kg and velocity 10m/s.,12,51.79,11.98,0.61,0.45,Medium
Q2823,Biology,Analyze,Compare osmosis in prokaryotes and eukaryotes.,6,81.66,7.55,0.75,0.12,Easy
Q2824,Physics,Apply,Use the concept of quantum mechanics to explain the given experiment.,11,71.27,9.07,0.85,0.22,Easy
Q2825,Computer Science,Understand,Describe the role of database normalization in modern computing.,9,94.19,6.55,0.87,0.33,Easy
Q2826,Mathematics,Analyze,Analyze the relationship between probability and integration.,7,72.2,4.82,0.86,0.25,Easy
Q2827,Biology,Remember,Name the organelles involved in photosynthesis.,6,86.59,5.4,0.92,0.26,Easy
Q2828,Physics,Remember,Define momentum in the context of physics.,7,34.14,15.96,0.44,0.79,Medium
Q2829,Physics,Remember,What is the SI unit of electromagnetism?,7,46.16,16.48,0.5,0.48,Easy
Q2830,Computer Science,Create,Develop an algorithm based on TCP/IP protocol that improves efficiency.,10,84.13,8.89,0.95,0.24,Medium
Q2831,Computer Science,Evaluate,Justify the use of binary trees in large-scale systems.,9,28.59,21.58,0.32,0.58,Hard
Q2832,Biology,Understand,Illustrate the cycle of cellular respiration with a diagram.,9,36.15,11.0,0.31,0.79,Medium
Q2833,Physics,Create,Formulate a hypothesis about optics based on the data.,9,44.87,21.56,0.42,0.55,Hard
Q2834,Computer Science,Analyze,Compare dynamic programming and encryption in terms of performance.,9,85.03,6.62,0.88,0.27,Easy
Q2835,Biology,Understand,Summarize the role of enzyme activity in cell function.,9,36.14,18.5,0.26,0.51,Medium
Q2836,Physics,Understand,Describe the relationship between electric circuits and energy.,8,53.57,11.04,0.72,0.43,Easy
Q2837,Physics,Analyze,Analyze how electromagnetism changes under different conditions.,7,92.6,8.27,0.95,0.16,Easy
Q2838,Computer Science,Apply,Demonstrate the use of sorting algorithms in the given scenario.,10,36.18,17.69,0.14,0.61,Medium
Q2839,Mathematics,Evaluate,Critique the use of probability in the given scenario.,9,85.04,5.93,0.84,0.16,Medium
Q2840,Computer Science,Analyze,Compare sorting algorithms and dynamic programming in terms of performance.,10,64.48,14.94,0.49,0.39,Medium
Q2841,Biology,Evaluate,Evaluate the significance of mitosis in evolution.,7,84.89,3.59,0.98,0.33,Easy
Q2842,Computer Science,Analyze,Differentiate between dynamic programming and binary trees.,7,93.61,3.8,0.86,0.3,Easy
Q2843,Physics,Analyze,Analyze how relativity changes under different conditions.,7,28.21,16.86,0.38,0.76,Medium
Q2844,Computer Science,Evaluate,Critique the design of dynamic programming in the given system.,10,25.44,13.96,0.28,0.71,Hard
Q2845,Computer Science,Evaluate,Critique the design of database normalization in the given system.,10,51.06,15.94,0.68,0.49,Medium
Q2846,Biology,Remember,Define enzyme activity in biological terms.,6,26.23,17.14,0.38,0.51,Medium
Q2847,Computer Science,Analyze,Analyze the time complexity of sorting algorithms.,7,46.07,10.03,0.63,0.3,Medium
Q2848,Physics,Analyze,Differentiate between optics and wave motion.,6,66.62,14.45,0.54,0.41,Medium
Q2849,Physics,Apply,Determine the value of electric circuits using the data provided.,10,46.31,17.21,0.5,0.36,Medium
Q2850,Computer Science,Create,Construct a database schema using principles of operating system scheduling.,10,21.53,15.19,0.43,0.73,Hard
Q2851,Computer Science,Apply,Apply operating system scheduling to solve the given computational problem.,10,37.1,14.8,0.11,0.56,Medium
Q2852,Physics,Understand,Explain optics using everyday examples.,5,58.95,10.22,0.59,0.36,Easy
Q2853,Mathematics,Analyze,Analyze the relationship between statistics and integration.,7,78.51,7.4,0.95,0.15,Easy
Q2854,Physics,Remember,What is the SI unit of optics?,7,23.81,19.1,0.43,0.46,Medium
Q2855,Computer Science,Remember,Define the term machine learning.,5,78.67,5.27,0.77,0.11,Easy
Q2856,Mathematics,Remember,What is the formula for number theory?,7,47.24,17.47,0.55,0.51,Easy
Q2857,Mathematics,Apply,Apply trigonometry to determine the missing variable.,7,92.38,8.72,0.91,0.34,Easy
Q2858,Mathematics,Evaluate,Evaluate the efficiency of integration in solving complex problems.,9,54.28,11.72,0.48,0.38,Medium
Q2859,Mathematics,Evaluate,Evaluate the efficiency of matrices in solving complex problems.,9,76.24,9.84,0.98,0.19,Medium
Q2860,Physics,Evaluate,Evaluate the impact of gravitational force on energy conservation.,9,43.29,21.69,0.32,0.76,Hard
Q2861,Physics,Apply,Apply the formula for quantum mechanics to solve the given problem.,11,48.03,17.32,0.58,0.36,Medium
Q2862,Computer Science,Remember,List the types of database normalization.,6,30.76,18.94,0.15,0.75,Medium
Q2863,Physics,Understand,Summarize the principles governing electromagnetism.,5,89.48,6.21,0.98,0.18,Easy
Q2864,Physics,Evaluate,Critique the assumptions made in the nuclear fission model.,9,54.64,16.09,0.65,0.41,Medium
Q2865,Physics,Understand,Explain thermodynamics using everyday examples.,5,62.32,12.22,0.72,0.43,Easy
Q2866,Mathematics,Apply,Calculate the value of integration given the following data.,9,30.44,11.15,0.12,0.53,Medium
Q2867,Mathematics,Evaluate,Critique the use of statistics in the given scenario.,9,45.96,15.99,0.72,0.46,Medium
Q2868,Mathematics,Analyze,Break down the steps involved in solving differential equations.,9,31.83,16.43,0.22,0.63,Hard
Q2869,Physics,Create,Develop a theoretical model incorporating wave motion.,7,84.78,5.34,0.85,0.24,Medium
Q2870,Computer Science,Evaluate,Evaluate the trade-offs between dynamic programming and encryption.,8,81.98,4.09,0.87,0.31,Medium
Q2871,Computer Science,Create,Design a system using encryption to handle real-time data.,9,75.27,5.94,0.75,0.23,Medium
Q2872,Mathematics,Analyze,Break down the steps involved in solving linear algebra.,9,68.81,13.2,0.63,0.46,Medium
Q2873,Physics,Apply,Use the concept of electric circuits to explain the given experiment.,11,50.11,12.61,0.47,0.4,Medium
Q2874,Biology,Analyze,Break down the molecular mechanisms of mitosis.,7,63.08,12.49,0.47,0.44,Medium
Q2875,Biology,Apply,Use the concept of enzyme activity to predict the outcome of the experiment.,13,46.14,14.69,0.69,0.51,Medium
Q2876,Mathematics,Evaluate,Evaluate the efficiency of probability in solving complex problems.,9,85.65,6.07,0.89,0.14,Medium
Q2877,Physics,Analyze,Compare momentum in elastic and inelastic collisions.,7,64.78,10.4,0.59,0.42,Medium
Q2878,Mathematics,Analyze,Compare and contrast matrices with trigonometry.,6,58.93,9.08,0.68,0.51,Medium
Q2879,Biology,Create,Construct a phylogenetic tree based on enzyme activity.,8,91.3,4.01,0.91,0.13,Medium
Q2880,Physics,Remember,State Newton's law related to electric circuits.,7,69.92,10.96,0.75,0.43,Easy
Q2881,Computer Science,Evaluate,Justify the use of database normalization in large-scale systems.,9,30.04,15.5,0.28,0.62,Hard
Q2882,Biology,Understand,Explain the process of photosynthesis in living organisms.,8,89.96,8.4,0.81,0.15,Easy
Q2883,Mathematics,Apply,Apply trigonometry to determine the missing variable.,7,73.93,5.15,0.97,0.35,Easy
Q2884,Biology,Evaluate,Assess the impact of mutations on protein synthesis.,8,61.1,11.14,0.53,0.49,Medium
Q2885,Computer Science,Apply,Use database normalization to optimize the following algorithm.,8,85.14,5.64,0.78,0.14,Easy
Q2886,Mathematics,Understand,Interpret the graph representing integration.,5,70.93,4.57,0.98,0.11,Easy
Q2887,Mathematics,Understand,Explain the concept of graph theory with an example.,9,61.48,13.19,0.67,0.51,Easy
Q2888,Mathematics,Apply,Calculate the value of statistics given the following data.,9,80.06,3.3,0.88,0.13,Easy
Q2889,Biology,Evaluate,Critique the experimental design used to study natural selection.,9,64.28,12.86,0.63,0.45,Medium
Q2890,Mathematics,Apply,Use trigonometry to find the area of the given figure.,10,79.77,5.26,0.88,0.3,Easy
Q2891,Computer Science,Remember,What does neural networks stand for?,6,89.98,4.82,0.88,0.16,Easy
Q2892,Computer Science,Analyze,Analyze the time complexity of encryption.,6,71.92,5.57,0.8,0.12,Easy
Q2893,Computer Science,Analyze,Compare operating system scheduling and database normalization in terms of performance.,11,60.78,16.12,0.73,0.5,Medium
Q2894,Mathematics,Analyze,Compare and contrast linear algebra with statistics.,7,76.59,9.51,0.94,0.32,Easy
Q2895,Physics,Analyze,Compare quantum mechanics in elastic and inelastic collisions.,8,36.91,11.72,0.21,0.62,Medium
Q2896,Mathematics,Understand,Explain the concept of trigonometry with an example.,8,77.02,4.39,0.77,0.13,Easy
Q2897,Physics,Remember,State Newton's law related to quantum mechanics.,7,50.79,11.15,0.48,0.52,Easy
Q2898,Biology,Remember,Name the organelles involved in genetic mutation.,7,55.35,13.73,0.53,0.31,Easy
Q2899,Physics,Create,Construct a simulation to demonstrate wave motion.,7,31.47,12.55,0.11,0.49,Hard
Q2900,Physics,Analyze,Break down the forces acting in a system involving momentum.,10,89.11,6.2,0.91,0.22,Easy
Q2901,Physics,Remember,List the factors affecting momentum.,5,91.45,9.56,0.81,0.25,Easy
Q2902,Computer Science,Evaluate,Assess the security implications of using database normalization.,8,75.72,8.23,0.99,0.17,Medium
Q2903,Mathematics,Remember,Define linear algebra in mathematics.,5,20.42,12.01,0.37,0.61,Medium
Q2904,Mathematics,Apply,"Solve the following problem using graph theory: if x = 5, find y.",13,68.7,10.41,0.66,0.31,Easy
Q2905,Physics,Apply,Use the concept of momentum to explain the given experiment.,10,47.37,11.22,0.57,0.4,Medium
Q2906,Physics,Analyze,Break down the forces acting in a system involving relativity.,10,83.03,6.25,0.82,0.24,Easy
Q2907,Mathematics,Analyze,Differentiate between integration and calculus with examples.,7,86.24,5.84,0.78,0.35,Easy
Q2908,Mathematics,Analyze,Break down the steps involved in solving number theory.,9,68.89,16.62,0.65,0.38,Medium
Q2909,Computer Science,Remember,What does sorting algorithms stand for?,6,47.58,17.32,0.47,0.33,Easy
Q2910,Physics,Evaluate,Judge the accuracy of the experiment measuring gravitational force.,9,93.05,4.88,0.82,0.34,Easy
Q2911,Biology,Apply,Calculate the rate of cellular respiration given the experimental data.,10,75.83,7.63,0.82,0.24,Easy
Q2912,Computer Science,Understand,Describe the role of recursion in modern computing.,8,47.72,15.76,0.46,0.35,Medium
Q2913,Mathematics,Remember,State the statistics theorem.,4,62.37,13.86,0.5,0.46,Easy
Q2914,Mathematics,Create,Formulate a new equation using the principles of differential equations.,10,61.19,12.56,0.48,0.41,Medium
Q2915,Physics,Evaluate,Judge the accuracy of the experiment measuring relativity.,8,63.07,17.29,0.51,0.49,Medium
Q2916,Physics,Create,Formulate a hypothesis about thermodynamics based on the data.,9,85.54,9.06,0.91,0.2,Medium
Q2917,Mathematics,Understand,Interpret the graph representing integration.,5,75.02,3.87,0.93,0.33,Easy
Q2918,Biology,Remember,Name the organelles involved in immune response.,7,58.98,9.01,0.71,0.51,Easy
Q2919,Mathematics,Create,Construct a proof for matrices.,5,73.41,3.17,0.92,0.25,Medium
Q2920,Biology,Apply,Demonstrate how cellular respiration affects the survival of the organism.,10,65.49,13.35,0.63,0.3,Easy
Q2921,Biology,Remember,What is protein synthesis?,4,25.77,18.61,0.19,0.5,Medium
Q2922,Biology,Create,Design an experiment to test the effect of temperature on cellular respiration.,12,48.77,11.22,0.63,0.51,Medium
Q2923,Computer Science,Analyze,Analyze the time complexity of sorting algorithms.,7,20.18,18.0,0.37,0.73,Hard
Q2924,Physics,Analyze,Break down the forces acting in a system involving electric circuits.,11,71.76,7.1,0.8,0.16,Easy
Q2925,Mathematics,Understand,Describe how statistics works in real-world scenarios.,7,41.39,10.01,0.34,0.64,Medium
Q2926,Physics,Create,Formulate a hypothesis about nuclear fission based on the data.,10,40.81,17.49,0.37,0.69,Hard
Q2927,Computer Science,Create,Create a flowchart illustrating the process of neural networks.,9,21.84,13.16,0.19,0.49,Hard
Q2928,Physics,Apply,Apply the formula for electromagnetism to solve the given problem.,10,21.76,11.66,0.45,0.72,Medium
